"nome_name_do_brasil","minuscula_sem_acento","maiuscula_sem_acento","first_sem_acento","minuscula_com_acento","maiuscula_com_acento","first_com_acento"
"AIXA","aixa","AIXA","Aixa","aixa","AIXA","Aixa"
"AJALA","ajala","AJALA","Ajala","ajala","AJALA","Ajala"
"AKAGI","akagi","AKAGI","Akagi","akagi","AKAGI","Akagi"
"AKAHANE","akahane","AKAHANE","Akahane","akahane","AKAHANE","Akahane"
"AKAHOSHI","akahoshi","AKAHOSHI","Akahoshi","akahoshi","AKAHOSHI","Akahoshi"
"AKAUA","akaua","AKAUA","Akaua","akaua","AKAUA","Akaua"
"AKEMI","akemi","AKEMI","Akemi","akemi","AKEMI","Akemi"
"AKERMAN","akerman","AKERMAN","Akerman","akerman","AKERMAN","Akerman"
"AKIKO","akiko","AKIKO","Akiko","akiko","AKIKO","Akiko"
"AKILA","akila","AKILA","Akila","akila","AKILA","Akila"
"AKIO","akio","AKIO","Akio","akio","AKIO","Akio"
"AKIRA","akira","AKIRA","Akira","akira","AKIRA","Akira"
"AKITO","akito","AKITO","Akito","akito","AKITO","Akito"
"AKL","akl","AKL","Akl","akl","AKL","Akl"
"AL","al","AL","Al","al","AL","Al"
"ALABARCE","alabarce","ALABARCE","Alabarce","alabarce","ALABARCE","Alabarce"
"ALACIDES","alacides","ALACIDES","Alacides","alacides","ALACIDES","Alacides"
"ALAÍDE","alaide","ALAIDE","Alaide","alaíde","ALAÍDE","Alaíde"
"ALAINA","alaina","ALAINA","Alaina","alaina","ALAINA","Alaina"
"ALAINE","alaine","ALAINE","Alaine","alaine","ALAINE","Alaine"
"ALAIR","alair","ALAIR","Alair","alair","ALAIR","Alair"
"ALAIZA","alaiza","ALAIZA","Alaiza","alaiza","ALAIZA","Alaiza"
"ALALAN","alalan","ALALAN","Alalan","alalan","ALALAN","Alalan"
"ALAM","alam","ALAM","Alam","alam","ALAM","Alam"
"ALAMINOS","alaminos","ALAMINOS","Alaminos","alaminos","ALAMINOS","Alaminos"
"ALAN","alan","ALAN","Alan","alan","ALAN","Alan"
"ALANA","alana","ALANA","Alana","alana","ALANA","Alana"
"ALANDERSON","alanderson","ALANDERSON","Alanderson","alanderson","ALANDERSON","Alanderson"
"ALANE","alane","ALANE","Alane","alane","ALANE","Alane"
"ALANIS","alanis","ALANIS","Alanis","alanis","ALANIS","Alanis"
"ALANISE","alanise","ALANISE","Alanise","alanise","ALANISE","Alanise"
"ALANNA","alanna","ALANNA","Alanna","alanna","ALANNA","Alanna"
"ALARCAO","alarcao","ALARCAO","Alarcao","alarcao","ALARCAO","Alarcao"
"ALAVE","alave","ALAVE","Alave","alave","ALAVE","Alave"
"ALAYANE","alayane","ALAYANE","Alayane","alayane","ALAYANE","Alayane"
"ALAYR","alayr","ALAYR","Alayr","alayr","ALAYR","Alayr"
"ALBA","alba","ALBA","Alba","alba","ALBA","Alba"
"ALBADO","albado","ALBADO","Albado","albado","ALBADO","Albado"
"ALBAN","alban","ALBAN","Alban","alban","ALBAN","Alban"
"ALBANA","albana","ALBANA","Albana","albana","ALBANA","Albana"
"ALBANITA","albanita","ALBANITA","Albanita","albanita","ALBANITA","Albanita"
"ALBANO","albano","ALBANO","Albano","albano","ALBANO","Albano"
"ALBARELLO","albarello","ALBARELLO","Albarello","albarello","ALBARELLO","Albarello"
"ALBERNAZ","albernaz","ALBERNAZ","Albernaz","albernaz","ALBERNAZ","Albernaz"
"ALBERT","albert","ALBERT","Albert","albert","ALBERT","Albert"
"ALBERTA","alberta","ALBERTA","Alberta","alberta","ALBERTA","Alberta"
"ALBERTANI","albertani","ALBERTANI","Albertani","albertani","ALBERTANI","Albertani"
"ALBERTI","alberti","ALBERTI","Alberti","alberti","ALBERTI","Alberti"
"ALBERTINA","albertina","ALBERTINA","Albertina","albertina","ALBERTINA","Albertina"
"ALBERTO","alberto","ALBERTO","Alberto","alberto","ALBERTO","Alberto"
"ALBERTON","alberton","ALBERTON","Alberton","alberton","ALBERTON","Alberton"
"ALBESSU","albessu","ALBESSU","Albessu","albessu","ALBESSU","Albessu"
"ALBINA","albina","ALBINA","Albina","albina","ALBINA","Albina"
